x_cm,z_cm,inside_domain,ks_cm_per_day,head_cm,theta
7.786516853932585,1.1123595505617978,1,20.085536923187668,-1438.1913,0.11657502
8.898876404494382,1.1123595505617978,1,20.085536923187668,-1417.896,0.11688259
10.011235955056181,1.1123595505617978,1,20.085536923187668,-1397.5686,0.11719759
11.123595505617978,1.1123595505617978,1,20.085536923187668,-1377.1985,0.11752049
12.235955056179776,1.1123595505617978,1,20.085536923187668,-1356.7776,0.117851734
13.348314606741575,1.1123595505617978,1,20.085536923187668,-1336.3033,0.11819172
14.460674157303371,1.1123595505617978,1,20.085536923187668,-1315.769,0.118540935
15.57303370786517,1.1123595505617978,1,20.085536923187668,-1295.1741,0.11889979
16.685393258426966,1.1123595505617978,1,20.085536923187668,-1274.5083,0.119268924
17.797752808988765,1.1123595505617978,1,20.085536923187668,-1253.7722,0.119648784
18.910112359550563,1.1123595505617978,1,20.085536923187668,-1232.9607,0.12003997
20.022471910112362,1.1123595505617978,1,20.085536923187668,-1212.0728,0.120443046
21.134831460674157,1.1123595505617978,1,20.085536923187668,-1191.1068,0.12085864
22.247191011235955,1.1123595505617978,1,20.085536923187668,-1170.0638,0.121287346
23.359550561797754,1.1123595505617978,1,20.085536923187668,-1148.9412,0.121729895
24.471910112359552,1.1123595505617978,1,20.085536923187668,-1127.7415,0.12218696
25.58426966292135,1.1123595505617978,1,20.085536923187668,-1106.4675,0.122659236
26.69662921348315,1.1123595505617978,1,20.085536923187668,-1085.1218,0.1231475
27.808988764044944,1.1123595505617978,1,20.085536923187668,-1063.7056,0.1236526
28.921348314606742,1.1123595505617978,1,20.085536923187668,-1042.2302,0.124175206
30.03370786516854,1.1123595505617978,1,20.085536923187668,-1020.6953,0.12471633
31.14606741573034,1.1123595505617978,1,20.085536923187668,-999.1102,0.12527679
32.258426966292134,1.1123595505617978,1,20.085536923187668,-977.4851,0.12585746
33.37078651685393,1.1123595505617978,1,20.085536923187668,-955.82336,0.12645945
34.48314606741573,1.1123595505617978,1,20.085536923187668,-934.14087,0.12708358
35.59550561797753,1.1123595505617978,1,20.085536923187668,-912.44543,0.12773101
36.70786516853933,1.1123595505617978,1,20.085536923187668,-890.7491,0.1284028
37.82022471910113,1.1123595505617978,1,20.085536923187668,-869.0658,0.1291
38.932584269662925,1.1123595505617978,1,20.085536923187668,-847.4076,0.12982386
40.044943820224724,1.1123595505617978,1,20.085536923187668,-825.7888,0.13057557
41.15730337078652,1.1123595505617978,1,20.085536923187668,-804.22754,0.13135627
42.26966292134831,1.1123595505617978,1,20.085536923187668,-782.73645,0.13216738
43.38202247191011,1.1123595505617978,1,20.085536923187668,-761.3323,0.13301024
44.49438202247191,1.1123595505617978,1,20.085536923187668,-740.0312,0.13388625
45.60674157303371,1.1123595505617978,1,45.0,-718.8529,0.13479677
46.71910112359551,1.1123595505617978,1,45.0,-697.8121,0.13574344
47.831460674157306,1.1123595505617978,1,45.0,-676.9286,0.13672769
48.943820224719104,1.1123595505617978,1,45.0,-656.219,0.13775124
50.0561797752809,1.1123595505617978,1,45.0,-635.7039,0.13881558
51.1685393258427,1.1123595505617978,1,45.0,-615.39923,0.13992256
52.2808988764045,1.1123595505617978,1,45.0,-595.32227,0.14107397
53.3932584269663,1.1123595505617978,1,45.0,-575.4919,0.1422716
